category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
|Hardware + Software|, Hardware + Software ,587000.0,closed,GBR,,Edinburgh,Edinburgh,2,2005-01-01,2005-01,2005-Q1,2005.0,2006-02-01,2007-05-04,0,587000,0,0,0,0,0,0,0,0,0,0,0,0,498000,0,0,0,0,0,0
|Software|, Software ,600000.0,closed,GBR,,Preston,Preston,1,,,,,2007-08-25,2007-08-25,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Curated Web|, Curated Web ,,closed,USA,NY,New York City,Brooklyn,1,,,,,2012-01-01,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Software|, Software ,5067737.0,closed,USA,TX,Austin,Austin,2,1988-01-01,1988-01,1988-Q1,1988.0,2011-01-24,2012-04-23,0,5067737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Education|, Education ,964000.0,closed,IND,,Chennai,Chennai,1,2001-01-01,2001-01,2001-Q1,2001.0,2008-03-27,2008-03-27,0,964000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,acquired,USA,VA,"Washington, D.C.",Arlington,1,1984-01-01,1984-01,1984-Q1,1984.0,1996-09-17,1996-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Teachers|Education|, Education ,1700000.0,acquired,USA,AZ,Phoenix,Chandler,2,,,,,2008-04-09,2009-09-08,0,1300000,0,0,0,0,400000,0,0,0,0,0,0,1300000,0,0,0,0,0,0,0
|Education|, Education ,1000000.0,acquired,ISR,,Tel Aviv,Rosh Ha'ayin,1,1990-01-01,1990-01,1990-Q1,1990.0,2002-02-01,2002-02-01,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Social Media|Games|, Social Media ,200000.0,closed,,,,,1,,2010-04,2010-Q2,2010.0,2010-04-17,2010-04-17,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Events|Photography|Video|Social Network Media|Social Media|, Social Network Media ,2097100.0,closed,USA,MA,Boston,Boston,3,,,,,2010-07-19,2011-07-26,0,2097100,0,0,0,0,0,0,0,0,0,0,0,0,1447100,0,0,0,0,0,0
|Security|, Security ,24000000.0,acquired,MYS,,Kuala Lumpur,Petaling Jaya,2,1998-01-01,1998-01,1998-Q1,1998.0,2002-12-01,2004-06-01,0,24000000,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,15000000,0,0,0,0
,,6192900.0,closed,,,,,1,,,,,2011-02-26,2011-02-26,0,6192900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Web Hosting|, Web Hosting ,141410.0,closed,GBR,,London,London,1,2010-01-10,2010-10,2010-Q4,2010.0,2011-04-01,2011-04-01,141410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Advertising|, Advertising ,6000000.0,acquired,USA,CA,SF Bay Area,Sunnyvale,1,2002-01-01,2002-01,2002-Q1,2002.0,2006-08-31,2006-08-31,0,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0
|E-Commerce|, E-Commerce ,1000000.0,closed,,,,,2,2010-01-07,2010-07,2010-Q3,2010.0,2010-09-01,2011-06-28,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Enterprises|Enterprise Software|, Enterprise Software ,8864292.0,acquired,USA,TX,Dallas,Dallas,2,1994-01-01,1994-01,1994-Q1,1994.0,2008-01-28,2010-07-27,0,8864292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7600000,0,0,0
|Software|, Software ,27000000.0,acquired,GBR,,London,London,3,2001-01-01,2001-01,2001-Q1,2001.0,2006-07-02,2008-04-14,0,22000000,0,0,0,5000000,0,0,0,0,0,0,0,0,10000000,0,0,0,0,0,0
|Search|, Search ,19713.0,closed,NLD,,Amsterdam,Amsterdam,1,,,,,2012-04-04,2012-04-04,19713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Hardware + Software|, Hardware + Software ,49600000.0,acquired,USA,OH,Youngstown,Youngstown,2,1980-01-01,1980-01,1980-Q1,1980.0,2007-10-01,2008-03-31,0,49600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Clean Technology|, Clean Technology ,40000000.0,acquired,USA,MD,"Washington, D.C.",Germantown,2,2000-01-01,2000-01,2000-Q1,2000.0,2006-01-01,2008-07-01,0,40000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18500000,0,0,0,0
|Health Care|, Health Care ,44000000.0,acquired,USA,WA,Seattle,Bothell,2,1995-01-01,1995-01,1995-Q1,1995.0,2005-02-18,2006-03-21,0,44000000,0,0,0,0,0,0,0,0,0,0,0,0,18000000,26000000,0,0,0,0,0
|Games|, Games ,40000.0,closed,USA,CA,Los Angeles,Los Angeles,1,2010-01-12,2010-12,2010-Q4,2010.0,2011-06-15,2011-06-15,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Software|, Software ,5500000.0,closed,USA,NJ,Newark,Somerset,1,2007-01-01,2007-01,2007-Q1,2007.0,2008-05-29,2008-05-29,0,5500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Enterprise Software|, Enterprise Software ,3400000.0,acquired,USA,CA,SF Bay Area,Menlo Park,1,2010-01-01,2010-01,2010-Q1,2010.0,2010-12-01,2010-12-01,0,3400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Hardware + Software|, Hardware + Software ,425130.0,acquired,USA,CA,SF Bay Area,Los Gatos,2,,,,,2008-04-25,2009-08-07,0,0,0,0,0,425130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Enterprise Software|, Enterprise Software ,14600000.0,closed,USA,CA,SF Bay Area,San Francisco,2,2007-01-01,2007-01,2007-Q1,2007.0,2007-08-15,2008-08-05,0,14600000,0,0,0,0,0,0,0,0,0,0,0,2600000,12000000,0,0,0,0,0,0
|Mobile|Solar|Clean Technology|, Solar ,10000.0,closed,,,,,1,,2009-03,2009-Q1,2009.0,2010-05-30,2010-05-30,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Biotechnology|, Biotechnology ,6500000.0,acquired,USA,NH,"Manchester, New Hampshire",Merrimack,1,2007-01-01,2007-01,2007-Q1,2007.0,2010-06-15,2010-06-15,0,0,0,0,0,6500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Education|, Education ,100000.0,closed,USA,NY,New York City,Brooklyn,1,2012-01-01,2012-01,2012-Q1,2012.0,2012-05-01,2012-05-01,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Biotechnology|, Biotechnology ,89400001.0,acquired,USA,CA,San Diego,San Diego,4,2007-01-01,2007-01,2007-Q1,2007.0,2010-01-21,2012-01-04,0,89400001,0,0,0,0,0,0,0,0,0,0,0,47000000,30000000,0,0,0,0,0,0
|Software|Curated Web|, Software ,,acquired,USA,OK,Tulsa,Tulsa,2,1986-11-07,1986-07,1986-Q3,1986.0,2008-12-22,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Twitter Applications|Social Media|Advertising|, Twitter Applications ,200000.0,closed,USA,IA,Des Moines,Des Moines,2,2009-01-09,2009-09,2009-Q3,2009.0,2009-10-22,2009-12-18,0,0,0,0,0,0,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
|Journalism|Video|Social Network Media|, Journalism ,,closed,USA,IL,Rockford,Freeport,1,2005-01-03,2005-03,2005-Q1,2005.0,2005-01-01,2005-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Marketing Automation|B2B|Sales and Marketing|Enterprise Software|, Enterprise Software ,35800000.0,acquired,USA,VA,"Washington, D.C.",Vienna,2,1999-01-01,1999-01,1999-Q1,1999.0,2006-09-01,2007-10-01,0,35800000,0,0,0,0,0,0,0,0,0,0,0,0,12800000,23000000,0,0,0,0,0
|Social Media Marketing|SEO|Search Marketing|Internet Marketing|Advertising|, Internet Marketing ,500000.0,closed,USA,IL,Chicago,Chicago,1,,2010-01,2010-Q1,2010.0,2009-09-01,2009-09-01,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,acquired,USA,OH,Cincinnati,Cincinnati,1,1986-01-01,1986-01,1986-Q1,1986.0,1997-03-10,1997-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Public Transportation|, Public Transportation ,1000000.0,acquired,USA,CA,SF Bay Area,San Francisco,2,2011-01-01,2011-01,2011-Q1,2011.0,2012-01-25,2012-11-13,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Software|, Software ,36640000.0,closed,CHN,,Guangdong,Guangdong,1,,,,,2009-01-04,2009-01-04,0,36640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Advertising|, Advertising ,,closed,,,,,1,,,,,2010-02-01,2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Real Time|Video|Mobile|, Real Time ,118000000.0,acquired,USA,CA,Anaheim,Irvine,4,,,,,2002-10-17,2010-01-18,0,113000000,0,0,0,5000000,0,0,0,0,0,0,0,0,20000000,0,0,0,0,0,0
|Curated Web|, Curated Web ,,acquired,USA,CA,SF Bay Area,San Francisco,1,2011-01-01,2011-01,2011-Q1,2011.0,2012-01-26,2012-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Health Care|, Health Care ,6700000.0,closed,USA,PA,Philadelphia,Wayne,2,,,,,2009-07-06,2009-10-01,0,6700000,0,0,0,0,0,0,0,0,0,0,0,0,6700000,0,0,0,0,0,0
,,,acquired,USA,NY,Buffalo,Buffalo,1,1949-01-01,1949-01,1949-Q1,1949.0,1999-04-26,1999-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Games|, Games ,39450000.0,acquired,USA,CA,Los Angeles,Calabasas,4,2000-01-01,2000-01,2000-Q1,2000.0,2005-01-01,2009-12-10,0,38700000,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,12000000,14400000,0,0,0
|Finance|Enterprises|PaaS|Developer APIs|Software|, PaaS ,448000.0,closed,,,,,3,2012-01-01,2012-01,2012-Q1,2012.0,2012-01-01,2012-07-01,448000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Hardware + Software|, Hardware + Software ,300000.0,closed,USA,CA,SF Bay Area,San Francisco,1,2005-01-01,2005-01,2005-Q1,2005.0,2011-04-29,2011-04-29,0,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Personal Health|Technology|Fitness|Hardware + Software|, Personal Health ,277900.0,closed,,,,,2,2010-01-04,2010-04,2010-Q2,2010.0,2010-01-01,2010-01-01,48000,0,0,0,0,0,0,229900,0,0,0,0,0,0,0,0,0,0,0,0,0
|Clean Technology|, Clean Technology ,71900834.0,acquired,USA,CA,SF Bay Area,San Mateo,6,1999-01-01,1999-01,1999-Q1,1999.0,2004-02-10,2010-07-08,0,70838334,0,0,0,1062500,0,0,0,0,0,0,0,0,0,2048334,11790000,12500000,32000000,12500000,0
|Software|, Software ,5000000.0,closed,USA,NC,Raleigh,Durham,2,2006-01-10,2006-10,2006-Q4,2006.0,2006-08-01,2008-10-07,0,5000000,0,0,0,0,0,0,0,0,0,0,0,2000000,3000000,0,0,0,0,0,0
|Clean Technology|, Clean Technology ,,closed,,,,,1,,,,,2008-08-31,2008-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Software|, Software ,1100000.0,closed,FRA,,Paris,Paris,1,1998-01-01,1998-01,1998-Q1,1998.0,2005-03-29,2005-03-29,0,1100000,0,0,0,0,0,0,0,0,0,0,0,1100000,0,0,0,0,0,0,0
|Health and Wellness|Hospitality|Health Care|, Hospitality ,15500000.0,acquired,USA,NY,New York City,White Plains,1,,,,,2014-06-17,2014-06-17,0,0,0,0,0,15500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18000000.0,closed,,,,,1,2000-01-01,2000-01,2000-Q1,2000.0,2006-03-18,2006-03-18,0,0,0,0,0,0,0,0,18000000,0,0,0,0,0,0,0,0,0,0,0,0
|Education|, Education ,19391496.0,acquired,USA,CA,SF Bay Area,Campbell,2,2011-01-06,2011-06,2011-Q2,2011.0,2011-06-23,2013-07-05,0,19391496,0,0,0,0,0,0,0,0,0,0,0,19391496,0,0,0,0,0,0,0
|Hardware + Software|, Hardware + Software ,13000000.0,closed,USA,CA,SF Bay Area,San Francisco,2,2004-01-01,2004-01,2004-Q1,2004.0,2009-11-03,2010-12-10,0,13000000,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,0,0,0,0,0
|Mobile|Android|SMS|Chat|Productivity Software|Messaging|, Android ,1500000.0,acquired,USA,CA,SF Bay Area,Palo Alto,1,,2012-02,2012-Q1,2012.0,2013-01-28,2013-01-28,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Semiconductors|, Semiconductors ,2450000.0,acquired,USA,CA,SF Bay Area,San Jose,1,2000-01-01,2000-01,2000-Q1,2000.0,2010-05-25,2010-05-25,0,2450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450000,0,0,0,0
|Sales and Marketing|, Sales and Marketing ,5440000.0,acquired,USA,IL,Chicago,Itasca,2,1997-01-01,1997-01,1997-Q1,1997.0,2009-04-29,2010-05-17,0,4250000,0,0,0,1190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Games|, Games ,,closed,USA,IL,Chicago,Chicago,1,2008-01-01,2008-01,2008-Q1,2008.0,2008-01-01,2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Enterprise Software|, Enterprise Software ,16000000.0,acquired,USA,CA,SF Bay Area,Foster City,1,2001-01-01,2001-01,2001-Q1,2001.0,2005-03-22,2005-03-22,0,16000000,0,0,0,0,0,0,0,0,0,0,0,0,16000000,0,0,0,0,0,0
|Information Technology|Health and Wellness|Health Care|, Information Technology ,5500000.0,acquired,USA,CA,Anaheim,Aliso Viejo,1,2005-01-02,2005-02,2005-Q1,2005.0,2009-03-10,2009-03-10,0,5500000,0,0,0,0,0,0,0,0,0,0,0,0,0,5500000,0,0,0,0,0
|Biotechnology|, Biotechnology ,5100000.0,closed,NZL,,NZL - Other,,1,2003-01-01,2003-01,2003-Q1,2003.0,2007-07-24,2007-07-24,0,5100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Biotechnology|, Biotechnology ,88950000.0,acquired,USA,TX,Houston,Houston,2,1989-01-01,1989-01,1989-Q1,1989.0,2006-10-19,2007-08-20,0,0,0,0,0,0,0,0,88950000,0,0,0,0,0,0,0,0,0,0,0,0
|E-Commerce|Search|Enterprises|Enterprise Software|, Enterprises ,65000000.0,acquired,USA,MA,Boston,Cambridge,5,,,,,2001-01-01,2008-01-01,0,65000000,0,0,0,0,0,0,0,0,0,0,0,10000000,15000000,15000000,0,0,25000000,0,0
|Shopping|Brand Marketing|Coupons|Loyalty Programs|Mobile|, Mobile ,4250000.0,acquired,USA,CA,SF Bay Area,San Mateo,1,2010-01-01,2010-01,2010-Q1,2010.0,2012-01-25,2012-01-25,0,4250000,0,0,0,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
|Bioinformatics|Biotechnology|, Bioinformatics ,3572737.0,acquired,USA,CA,SF Bay Area,Los Altos,3,2011-01-01,2011-01,2011-Q1,2011.0,2011-10-31,2014-01-31,0,3572737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Biotechnology|Health Care|, Biotechnology ,80600000.0,acquired,CHE,,Geneva,Geneva,3,2003-01-01,2003-01,2003-Q1,2003.0,2009-10-27,2013-03-06,0,80600000,0,0,0,0,0,0,0,0,0,0,0,0,36000000,44600000,0,0,0,0,0
|Health Care|, Health Care ,6148584.0,closed,USA,OH,"Columbus, Ohio",Columbus,2,,,,,2011-06-01,2012-04-26,0,6148584,0,0,0,0,0,0,0,0,0,0,0,3000000,0,0,0,0,0,0,0
|Finance Technology|Crowdfunding|Peer-to-Peer|Finance|, Finance Technology ,1500000.0,acquired,USA,CA,SF Bay Area,San Francisco,1,2011-01-12,2011-12,2011-Q4,2011.0,2012-05-01,2012-05-01,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Games|, Games ,,closed,USA,NY,New York City,New York,1,2011-01-07,2011-07,2011-Q3,2011.0,2012-03-01,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Semiconductors|, Semiconductors ,13000000.0,acquired,NOR,,Oslo,Oslo,1,2007-01-11,2007-11,2007-Q4,2007.0,2010-03-18,2010-03-18,0,13000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Clean Technology|, Clean Technology ,33052663.0,acquired,USA,NY,New York City,Brooklyn,5,2007-01-01,2007-01,2007-Q1,2007.0,1999-09-02,2012-12-03,0,29852300,0,0,0,3200363,0,0,0,0,0,0,0,0,14500000,0,0,0,0,0,0
|Mobile|, Mobile ,19000000.0,acquired,USA,TX,Dallas,Richardson,1,,,,,2006-10-23,2006-10-23,0,19000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Wireless|Telecommunications|Service Providers|Internet|Mobile|, Mobile ,40000000.0,closed,RUS,,Moscow,Moscow,3,2003-01-10,2003-10,2003-Q4,2003.0,2005-01-01,2008-01-01,0,40000000,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000,0,0,0,0,0
|Match-Making|Private Social Networking|Online Dating|Social Media|, Social Media ,5000000.0,acquired,USA,MA,Boston,Andover,1,,,,,2006-07-12,2006-07-12,0,5000000,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0
|Curated Web|, Curated Web ,540000.0,closed,CAN,ON,Toronto,Toronto,1,2012-01-01,2012-01,2012-Q1,2012.0,2012-02-15,2012-02-15,540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Hardware + Software|, Hardware + Software ,6100000.0,closed,USA,MN,Duluth,Eveleth,1,2001-01-01,2001-01,2001-Q1,2001.0,2005-09-26,2005-09-26,0,6100000,0,0,0,0,0,0,0,0,0,0,0,0,6100000,0,0,0,0,0,0
|Apps|Services|Consulting|, Consulting ,60000.0,closed,ZAF,,Johannesburg,Johannesburg,1,,2008-05,2008-Q2,2008.0,2008-05-18,2008-05-18,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Universities|Colleges|High Schools|Teachers|Software|Education|, High Schools ,8000000.0,acquired,USA,CA,Los Angeles,Santa Monica,3,2003-01-01,2003-01,2003-Q1,2003.0,2011-10-01,2013-07-03,0,8000000,0,0,0,0,0,0,0,0,0,0,0,3000000,5000000,0,0,0,0,0,0
|Analytics|File Sharing|Apps|Presentations|Sales and Marketing|iPad|Mobile|, Mobile ,50000.0,closed,,,,,1,2013-01-02,2013-02,2013-Q1,2013.0,2013-04-01,2013-04-01,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Games|, Games ,1410000.0,closed,ESP,,Madrid,Madrid,1,1996-01-01,1996-01,1996-Q1,1996.0,2007-09-25,2007-09-25,0,1410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Enterprise Software|, Enterprise Software ,32500000.0,closed,GBR,,London,London,3,2002-01-04,2002-04,2002-Q2,2002.0,2004-09-20,2008-08-06,0,32500000,0,0,0,0,0,0,0,0,0,0,0,0,6000000,12500000,14000000,0,0,0,0
|iPhone|Facebook Applications|Web Tools|Content Syndication|Advertising|Video|Software|, Web Tools ,1100000.0,closed,AUS,,Sydney,Sydney,2,2006-01-01,2006-01,2006-Q1,2006.0,2008-01-01,2008-01-01,600000,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Opinions|Social Media|Artificial Intelligence|Software|, Software ,2250000.0,acquired,USA,GA,Atlanta,Atlanta,2,1998-09-11,1998-11,1998-Q4,1998.0,1999-01-01,2000-02-01,0,2050000,0,0,0,0,200000,0,0,0,0,0,0,2050000,0,0,0,0,0,0,0
|Pharmaceuticals|Medical|Health Care|Biotechnology|, Biotechnology ,158187308.0,acquired,CAN,QC,Quebec City,Quebec,5,1997-01-01,1997-01,1997-Q1,1997.0,2005-01-18,2011-08-08,0,158187308,0,0,0,0,0,0,0,0,0,0,0,15550000,37637308,50000000,0,0,0,0,0
|SaaS|Analytics|Sales and Marketing|Software|, Software ,,closed,USA,WA,Seattle,Seattle,1,2011-01-06,2011-06,2011-Q2,2011.0,2012-03-01,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Utilities|Cloud Computing|Software|, Utilities ,,acquired,CAN,ON,Etobicoke,Etobicoke,1,,2004-01,2004-Q1,2004.0,2009-09-14,2009-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Open Source|Cloud Computing|Software|, Open Source ,7699316.0,acquired,FRA,,Paris,Paris,2,2008-01-01,2008-01,2008-Q1,2008.0,2011-11-03,2013-07-09,0,0,0,0,0,7699316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Semiconductors|, Semiconductors ,59000000.0,acquired,USA,NJ,NJ - Other,Hampton,4,2001-01-01,2001-01,2001-Q1,2001.0,2004-12-21,2011-03-31,0,53000000,0,0,0,6000000,0,0,0,0,0,0,0,0,17000000,20000000,0,16000000,0,0,0
|Mobile|Advertising|, Advertising ,2000000.0,acquired,,,,,1,,,,,2006-11-02,2006-11-02,0,0,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|E-Commerce|, E-Commerce ,2000000.0,acquired,THA,,Bangkok,Bangkok,1,2009-01-07,2009-07,2009-Q3,2009.0,2010-07-01,2010-07-01,0,2000000,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,0
|Cloud Management|Security|Cloud Computing|Enterprise Software|, Cloud Computing ,3500000.0,acquired,USA,MN,Minneapolis,Minneapolis,1,2009-01-01,2009-01,2009-Q1,2009.0,2011-11-07,2011-11-07,0,3500000,0,0,0,0,0,0,0,0,0,0,0,3500000,0,0,0,0,0,0,0
|Medical Devices|Health Care|, Medical Devices ,400000.0,closed,,,,,1,2009-01-01,2009-01,2009-Q1,2009.0,2009-01-01,2009-01-01,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Enterprise Software|, Enterprise Software ,50000.0,closed,,,,,1,,,,,2012-03-19,2012-03-19,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Enterprise Software|, Enterprise Software ,,acquired,USA,AL,Birmingham,Birmingham,1,2000-01-01,2000-01,2000-Q1,2000.0,2013-03-08,2013-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,acquired,,,,,1,,,,,2011-02-03,2011-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Games|Advertising|, Games ,1000000.0,closed,RUS,,Moscow,Moscow,1,2005-01-01,2005-01,2005-Q1,2005.0,2008-05-22,2008-05-22,0,1000000,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0
|Security|Enterprise Software|, Enterprise Software ,9542.0,acquired,GBR,,London,Maidstone,1,2006-06-11,2006-11,2006-Q4,2006.0,2006-11-01,2006-11-01,9542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Software|, Software ,4000000.0,closed,USA,NY,New York City,New York,1,2004-01-07,2004-07,2004-Q3,2004.0,2007-02-26,2007-02-26,0,4000000,0,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,0
|Human Resources|Recruiting|Enterprises|Enterprise Software|, Enterprises ,3300000.0,acquired,USA,UT,Salt Lake City,Provo,2,2007-01-01,2007-01,2007-Q1,2007.0,2007-08-01,2009-09-25,2000000,0,0,0,0,0,1300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Advertising|, Advertising ,70000.0,acquired,USA,CT,Hartford,Hamden,2,2007-01-11,2007-11,2007-Q4,2007.0,2007-01-01,2007-11-01,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Biotechnology|, Biotechnology ,18050007.0,acquired,USA,TX,San Antonio,San Antonio,3,,,,,2009-09-16,2011-11-21,4000000,10878234,0,0,0,3171773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Web CMS|Enterprises|Cloud Computing|Synchronization|Data Integration|Software|, Synchronization ,3500000.0,acquired,FRA,,Paris,Paris,1,2005-01-03,2005-03,2005-Q1,2005.0,2011-03-16,2011-03-16,0,3500000,0,0,0,0,0,0,0,0,0,0,0,3500000,0,0,0,0,0,0,0
|Curated Web|, Curated Web ,40000.0,acquired,USA,WI,Madison,Madison,1,2008-01-11,2008-11,2008-Q4,2008.0,2010-12-02,2010-12-02,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Software|, Software ,13000000.0,closed,ISR,,Tel Aviv,Herzliya,2,2003-01-01,2003-01,2003-Q1,2003.0,2006-09-18,2007-11-15,0,13000000,0,0,0,0,0,0,0,0,0,0,0,8000000,0,0,0,0,0,0,0
|E-Commerce|, E-Commerce ,17000000.0,acquired,USA,MA,Boston,Andover,2,,,,,2006-06-22,2008-04-23,0,17000000,0,0,0,0,0,0,0,0,0,0,0,7000000,10000000,0,0,0,0,0,0
|Software|, Software ,8000000.0,acquired,,,,,1,1993-01-01,1993-01,1993-Q1,1993.0,2006-04-12,2006-04-12,0,8000000,0,0,0,0,0,0,0,0,0,0,0,0,0,8000000,0,0,0,0,0
|Hospitals|, Hospitals ,781310880.0,closed,USA,CO,Denver,Greenwood Village,2,,,,,2011-11-10,2014-06-18,0,31310880,0,0,0,0,0,0,0,750000000,0,0,0,31310880,0,0,0,0,0,0,0
|Public Relations|, Public Relations ,5280000.0,acquired,USA,AZ,Phoenix,Phoenix,1,1994-01-01,1994-01,1994-Q1,1994.0,2005-10-09,2005-10-09,0,5280000,0,0,0,0,0,0,0,0,0,0,0,0,5280000,0,0,0,0,0,0
|Social Network Media|Senior Citizens|Social Media|, Social Network Media ,32000000.0,closed,USA,MA,Boston,Boston,2,2005-01-01,2005-01,2005-Q1,2005.0,2006-04-01,2007-03-01,0,32000000,0,0,0,0,0,0,0,0,0,0,0,10000000,22000000,0,0,0,0,0,0
|Games|, Games ,1500000.0,closed,USA,CA,Los Angeles,Los Angeles,1,2008-01-01,2008-01,2008-Q1,2008.0,2009-12-03,2009-12-03,0,0,0,0,0,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
