Sr.no,funding_total_usd,funding_rounds,funding_duration_days,avg_funding_per_round,market_sector,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,status
25,65000000,3,1360,21666666.67,Software & Cloud,0,65000000,0,0,0,0,0,0,0,0,acquired
26,1500000,1,0,1500000,Mobile & Telecom,1500000,0,0,0,0,0,0,0,0,0,acquired
27,15000000,3,904,5000000,Software & Cloud,0,15000000,0,0,0,0,0,0,0,0,acquired
28,272000,1,0,272000,Software & Cloud,0,272000,0,0,0,0,0,0,0,0,closed
29,38064570,4,2165,9516142.5,Security,0,38064570,0,0,0,0,0,0,0,0,acquired
30,2258720,1,0,2258720,Software & Cloud,0,2258720,0,0,0,0,0,0,0,0,acquired
31,4500000,1,0,4500000,Software & Cloud,0,0,0,0,0,0,0,0,0,0,closed
32,9416354,6,1282,1569392.333,Software & Cloud,0,9146354,0,0,270000,0,0,0,0,0,acquired
33,12900000,6,1183,2150000,E-commerce & Retail,1400000,9500000,0,0,0,2000000,0,0,0,0,acquired
34,4500000,1,0,4500000,Transportation & Automotive,0,4500000,0,0,0,0,0,0,0,0,closed
